sim_number,price_vnd
343189288,450000
888899580,3000000
928960006,500000
902438679,5000000
334307889,450000
328190680,450000
926052005,12000000
921220924,3000000
877001866,500000
769889999,199000000
879161786,500000
343558799,450000
866615679,5000000
869856892,1000000
343684386,450000
827808088,5000000
786008888,104000000
763659259,1000000
971318568,5000000
377321486,500000
862998937,450000
865487079,450000
566682868,3000000
834141141,14000000
916789815,1000000
856637678,11325000
847797988,3000000
904434880,500000
979792743,1000000
765959695,1000000
825294678,11325000
384076888,10000000
901184676,500000
334666375,450000
944468567,3000000
333954588,450000
827470678,11325000
865514899,450000
773322899,1000000
815818186,5000000
906111937,1000000
788333178,1000000
707086696,3000000
335316739,450000
364556499,450000
328030803,450000
912404244,3000000
869919815,500000
344233395,450000
978573993,3000000
832404144,3000000
865756785,450000
865777792,5000000
767890022,13000000
343321286,450000
941219123,500000
798586767,1000000
921150797,1000000
979547786,3000000
943509439,1000000
971908868,10000000
948858546,1000000
793522228,5000000
703631631,3000000
866031393,450000
865550139,450000
342424296,5000000
857866939,500000
368803768,500000
877152986,500000
328199967,450000
911217517,500000
333047139,450000
764656234,1000000
906838396,3000000
342130696,450000
354024669,500000
982228999,188000000
326070685,500000
772892345,5000000
352918999,12000000
335499139,450000
909620653,500000
396272442,500000
705981962,1000000
326010003,450000
933331389,10400000
879612456,500000
889247226,500000
826102010,12000000
942400190,1000000
963496323,500000
336208966,450000
943867315,1000000
854508678,11325000
792861939,3000000
765166166,12500000
763643642,1000000
343651399,450000
982972077,500000
334739266,450000
911213093,500000
965102876,500000
769333325,5000000
769687079,1000000
946758374,1000000
368947488,500000
868721662,500000
327617772,450000
815259888,10000000
982034573,450000
332643679,450000
336043773,450000
708187557,1000000
899666601,3000000
824481481,3000000
855661982,5000000
824101101,11000000
988076494,500000
938304030,5000000
336678999,59000000
383217879,3000000
968333302,10000000
327171171,12000000
794999933,5000000
763714711,1000000
961641990,5000000
938575898,3000000
858881995,14000000
934595359,3000000
708025021,1000000
931395759,500000
817253678,11325000
523501992,500000
343933669,450000
329832566,450000
924071979,12000000
988908510,1000000
924890686,500000
334838599,450000
865050497,450000
879484889,500000
905388268,10000000
868838366,12000000
966052584,500000
888803686,5000000
368020196,450000
906611997,3000000
936562014,3000000
784865865,5000000
379551984,5000000
877100897,500000
942268185,1000000
847795678,12000000
979692010,3000000
866838879,5000000
778566977,1000000
898260898,3000000
888313737,5000000
815072021,15000000
762755833,1000000
989754971,500000
936663769,1000000
352656569,5000000
399469668,5000000
936381583,1000000
976012723,500000
987445960,500000
968982366,10000000
963625139,1000000
888613577,1000000
898989213,3000000
822345858,3000000
327387771,450000
907097143,500000
325012010,13500000
929991325,500000
879935639,500000
327561039,450000
778539210,1000000
929989286,3000000
961866852,3000000
911270039,3000000
901455455,55000000
866383530,450000
339900575,5000000
869221639,1000000
854403403,5000000
327022294,450000
963702718,500000
789938686,11700000
